"","name","area","value","footnote_codes","state","county","cbsa","rpp.in.100.dollars","ratio"
"1540","Minnesota","2700000",18.69,NA,27,27005,NA,115.4734411,6.17835425896201
"1541","Minnesota","2700000",18.69,NA,27,27023,NA,115.4734411,6.17835425896201
"1542","Minnesota","2700000",18.69,NA,27,27135,NA,115.4734411,6.17835425896201
"1543","Minnesota","2700000",18.69,NA,27,27083,32140,115.4734411,6.17835425896201
"1544","Minnesota","2700000",18.69,NA,27,27049,39860,115.4734411,6.17835425896201
"1545","Minnesota","2700000",18.69,NA,27,27159,NA,115.4734411,6.17835425896201
"1546","Minnesota","2700000",18.69,NA,27,27051,NA,115.4734411,6.17835425896201
"1547","Minnesota","2700000",18.69,NA,27,27165,NA,115.4734411,6.17835425896201
"1548","Minnesota","2700000",18.69,NA,27,27129,NA,115.4734411,6.17835425896201
"1549","Minnesota","2700000",18.69,NA,27,27131,22060,115.4734411,6.17835425896201
"1550","Minnesota","2700000",18.69,NA,27,27133,NA,115.4734411,6.17835425896201
"331","Champaign-Urbana, IL","0016580",17.16,NA,17,17019,16580,106.0445387,6.17975167249417
"332","Champaign-Urbana, IL","0016580",17.16,NA,17,17147,16580,106.0445387,6.17975167249417
"333","Champaign-Urbana, IL","0016580",17.16,NA,17,17053,16580,106.0445387,6.17975167249417
"2274","Peoria, IL","0037900",17.6,NA,17,17123,37900,108.8139282,6.18260955681818
"2275","Peoria, IL","0037900",17.6,NA,17,17203,37900,108.8139282,6.18260955681818
"2276","Peoria, IL","0037900",17.6,NA,17,17175,37900,108.8139282,6.18260955681818
"2277","Peoria, IL","0037900",17.6,NA,17,17143,37900,108.8139282,6.18260955681818
"2278","Peoria, IL","0037900",17.6,NA,17,17179,37900,108.8139282,6.18260955681818
"1274","Lancaster, PA","0029540",16.41,NA,42,42071,29540,101.5228426,6.18664488726386
"763","Houma-Thibodaux, LA","0026380",17.38,NA,22,22109,26380,107.5268817,6.18681712888378
"764","Houma-Thibodaux, LA","0026380",17.38,NA,22,22057,26380,107.5268817,6.18681712888378
"2197","Omaha-Council Bluffs, NE-IA","0036540",17.09,NA,19,19155,36540,106.0445387,6.20506370392042
"2198","Omaha-Council Bluffs, NE-IA","0036540",17.09,NA,31,31177,36540,106.0445387,6.20506370392042
"2199","Omaha-Council Bluffs, NE-IA","0036540",17.09,NA,19,19085,36540,106.0445387,6.20506370392042
"2200","Omaha-Council Bluffs, NE-IA","0036540",17.09,NA,31,31153,36540,106.0445387,6.20506370392042
"2201","Omaha-Council Bluffs, NE-IA","0036540",17.09,NA,31,31025,36540,106.0445387,6.20506370392042
"2202","Omaha-Council Bluffs, NE-IA","0036540",17.09,NA,31,31055,36540,106.0445387,6.20506370392042
"2203","Omaha-Council Bluffs, NE-IA","0036540",17.09,NA,31,31155,36540,106.0445387,6.20506370392042
"2204","Omaha-Council Bluffs, NE-IA","0036540",17.09,NA,19,19129,36540,106.0445387,6.20506370392042
"97","Ames, IA","0011180",17.95,NA,19,19169,11180,111.7318436,6.22461524233983
"1053","Kankakee, IL","0028100",16.1,NA,17,17091,28100,100.5025126,6.24239208695652
"217","Bakersfield, CA","0012540",16.39,NA,6,6029,12540,102.3541453,6.24491429530201
"396","Cleveland-Elyria, OH","0017460",17.84,NA,39,39103,17460,111.7318436,6.26299571748879
"397","Cleveland-Elyria, OH","0017460",17.84,NA,39,39093,17460,111.7318436,6.26299571748879
"398","Cleveland-Elyria, OH","0017460",17.84,NA,39,39055,17460,111.7318436,6.26299571748879
"399","Cleveland-Elyria, OH","0017460",17.84,NA,39,39035,17460,111.7318436,6.26299571748879
"400","Cleveland-Elyria, OH","0017460",17.84,NA,39,39085,17460,111.7318436,6.26299571748879
"3124","York-Hanover, PA","0049620",16.65,NA,42,42133,49620,104.3841336,6.26931733333333
"567","Fargo, ND-MN","0022020",17.05,NA,38,38017,22020,106.9518717,6.27283704985337
"568","Fargo, ND-MN","0022020",17.05,NA,27,27027,22020,106.9518717,6.27283704985337
"289","Buffalo-Cheektowaga-Niagara Falls, NY","0015380",16.98,NA,36,36029,15380,106.6098081,6.27855171378092
"290","Buffalo-Cheektowaga-Niagara Falls, NY","0015380",16.98,NA,36,36063,15380,106.6098081,6.27855171378092
"559","Elmira, NY","0021300",16.92,NA,36,36015,21300,106.2699256,6.28072846335697
"378","Cincinnati, OH-KY-IN","0017140",17.58,NA,21,21015,17140,110.4972376,6.28539463026166
"379","Cincinnati, OH-KY-IN","0017140",17.58,NA,39,39015,17140,110.4972376,6.28539463026166
"380","Cincinnati, OH-KY-IN","0017140",17.58,NA,21,21037,17140,110.4972376,6.28539463026166
"381","Cincinnati, OH-KY-IN","0017140",17.58,NA,39,39061,17140,110.4972376,6.28539463026166
"382","Cincinnati, OH-KY-IN","0017140",17.58,NA,39,39165,17140,110.4972376,6.28539463026166
"383","Cincinnati, OH-KY-IN","0017140",17.58,NA,21,21077,17140,110.4972376,6.28539463026166
"384","Cincinnati, OH-KY-IN","0017140",17.58,NA,18,18115,17140,110.4972376,6.28539463026166
"385","Cincinnati, OH-KY-IN","0017140",17.58,NA,39,39017,17140,110.4972376,6.28539463026166
